"SpeciesAbv","Yrr","Quarter","FlagAbv","SumOfNumber","SumOfWeight","Lon","Lat"
"BET",1954,4.00,"JPN",645.00,,-147.50,7.50
"BET",1954,4.00,"JPN",106.00,,-147.50,27.50
"BET",1954,4.00,"JPN",10.00,,-142.50,2.50
"BET",1954,4.00,"JPN",6071.00,,-142.50,7.50
"BET",1954,4.00,"JPN",63.00,,-142.50,32.50
"BET",1954,4.00,"JPN",11848.00,,-137.50,7.50
"BET",1954,4.00,"JPN",9890.00,,-132.50,7.50
"BET",1954,4.00,"JPN",1243.00,,-127.50,7.50
"BET",1955,1.00,"JPN",15.00,,-147.50,-17.50
"BET",1955,1.00,"JPN",62.00,,-147.50,-12.50
"BET",1955,1.00,"JPN",561.00,,-147.50,32.50
"BET",1955,1.00,"JPN",56.00,,-142.50,-12.50
"BET",1955,1.00,"JPN",15.00,,-142.50,2.50
"BET",1955,1.00,"JPN",7.00,,-142.50,7.50
"BET",1955,1.00,"JPN",396.00,,-132.50,7.50
"BET",1955,1.00,"JPN",2775.00,,-127.50,7.50
"BET",1955,1.00,"JPN",245.00,,-122.50,7.50
"BET",1955,2.00,"JPN",58.00,,-147.50,-12.50
"BET",1955,2.00,"JPN",180.00,,-147.50,-7.50
"BET",1955,2.00,"JPN",48.00,,-142.50,-12.50
"BET",1955,2.00,"JPN",7.00,,-142.50,-7.50
"BET",1955,3.00,"JPN",1846.00,,-142.50,7.50
"BET",1955,3.00,"JPN",1547.00,,-137.50,7.50
"BET",1955,4.00,"JPN",31.00,,-147.50,-17.50
"BET",1955,4.00,"JPN",57.00,,-147.50,-12.50
"BET",1955,4.00,"JPN",4542.00,,-147.50,7.50
"BET",1955,4.00,"JPN",4456.00,,-147.50,32.50
"BET",1955,4.00,"JPN",7.00,,-142.50,-22.50
"BET",1955,4.00,"JPN",17.00,,-142.50,-17.50
"BET",1955,4.00,"JPN",17.00,,-142.50,2.50
"BET",1955,4.00,"JPN",8173.00,,-142.50,7.50
"BET",1955,4.00,"JPN",11.00,,-137.50,-17.50
"BET",1955,4.00,"JPN",3310.00,,-137.50,7.50
"BET",1955,4.00,"JPN",4927.00,,-132.50,7.50
"BET",1955,4.00,"JPN",235.00,,-127.50,7.50
"BET",1956,1.00,"JPN",130.00,,-147.50,-17.50
"BET",1956,1.00,"JPN",152.00,,-147.50,-12.50
"BET",1956,1.00,"JPN",2293.00,,-147.50,27.50
"BET",1956,1.00,"JPN",5946.00,,-147.50,32.50
"BET",1956,1.00,"JPN",154.00,,-147.50,37.50
"BET",1956,1.00,"JPN",43.00,,-142.50,-17.50
"BET",1956,1.00,"JPN",79.00,,-142.50,-12.50
"BET",1956,1.00,"JPN",353.00,,-142.50,27.50
"BET",1956,1.00,"JPN",2044.00,,-142.50,32.50
"BET",1956,2.00,"JPN",110.00,,-147.50,-7.50
"BET",1956,3.00,"JPN",854.00,,-147.50,2.50
"BET",1956,3.00,"JPN",1716.00,,-147.50,7.50
"BET",1956,3.00,"JPN",618.00,,-147.50,27.50
"BET",1956,3.00,"JPN",1353.00,,-147.50,32.50
"BET",1956,3.00,"JPN",335.00,,-142.50,-7.50
"BET",1956,3.00,"JPN",20.00,,-142.50,-2.50
"BET",1956,3.00,"JPN",10.00,,-142.50,2.50
"BET",1956,3.00,"JPN",1462.00,,-142.50,7.50
"BET",1956,3.00,"JPN",73.00,,-142.50,27.50
"BET",1956,3.00,"JPN",56.00,,-142.50,32.50
"BET",1956,3.00,"JPN",8.00,,-137.50,-2.50
"BET",1956,3.00,"JPN",44.00,,-137.50,2.50
"BET",1956,3.00,"JPN",228.00,,-137.50,32.50
"BET",1956,3.00,"JPN",157.00,,-127.50,-7.50
"BET",1956,3.00,"JPN",1128.00,,-127.50,-2.50
"BET",1956,3.00,"JPN",157.00,,-127.50,7.50
"BET",1956,3.00,"JPN",17.00,,-122.50,2.50
"BET",1956,3.00,"JPN",72.00,,-122.50,7.50
"BET",1956,3.00,"JPN",195.00,,-117.50,7.50
"BET",1956,4.00,"JPN",59.00,,-147.50,-17.50
"BET",1956,4.00,"JPN",160.00,,-147.50,2.50
"BET",1956,4.00,"JPN",3132.00,,-147.50,7.50
"BET",1956,4.00,"JPN",2561.00,,-147.50,27.50
"BET",1956,4.00,"JPN",13847.00,,-147.50,32.50
"BET",1956,4.00,"JPN",79.00,,-147.50,37.50
"BET",1956,4.00,"JPN",448.00,,-142.50,-17.50
"BET",1956,4.00,"JPN",20.00,,-142.50,-7.50
"BET",1956,4.00,"JPN",876.00,,-142.50,2.50
"BET",1956,4.00,"JPN",63.00,,-142.50,7.50
"BET",1956,4.00,"JPN",136.00,,-142.50,32.50
"BET",1956,4.00,"JPN",147.00,,-137.50,-17.50
"BET",1956,4.00,"JPN",68.00,,-137.50,2.50
"BET",1956,4.00,"JPN",216.00,,-132.50,-7.50
"BET",1956,4.00,"JPN",206.00,,-132.50,7.50
"BET",1956,4.00,"JPN",298.00,,-127.50,-7.50
"BET",1956,4.00,"JPN",274.00,,-127.50,2.50
"BET",1956,4.00,"JPN",2290.00,,-127.50,7.50
"BET",1957,1.00,"JPN",32.00,,-147.50,-17.50
"BET",1957,1.00,"JPN",551.00,,-147.50,-12.50
"BET",1957,1.00,"JPN",340.00,,-147.50,-7.50
"BET",1957,1.00,"JPN",508.00,,-147.50,32.50
"BET",1957,1.00,"JPN",65.00,,-142.50,-17.50
"BET",1957,1.00,"JPN",249.00,,-142.50,-12.50
"BET",1957,1.00,"JPN",887.00,,-142.50,-7.50
"BET",1957,1.00,"JPN",48.00,,-137.50,-17.50
"BET",1957,1.00,"JPN",40.00,,-137.50,-12.50
"BET",1957,1.00,"JPN",67.00,,-137.50,-7.50
"BET",1957,1.00,"JPN",22.00,,-137.50,2.50
"BET",1957,1.00,"JPN",124.00,,-132.50,-7.50
"BET",1957,1.00,"JPN",67.00,,-132.50,-2.50
"BET",1957,1.00,"JPN",5794.00,,-127.50,-7.50
"BET",1957,1.00,"JPN",1255.00,,-127.50,-2.50
"BET",1957,1.00,"JPN",1891.00,,-122.50,-7.50
"BET",1957,1.00,"JPN",284.00,,-122.50,-2.50
"BET",1957,2.00,"JPN",151.00,,-147.50,7.50
"BET",1957,2.00,"JPN",38.00,,-142.50,-7.50
"BET",1957,2.00,"JPN",65.00,,-142.50,-2.50
"BET",1957,2.00,"JPN",295.00,,-142.50,2.50
"BET",1957,2.00,"JPN",49.00,,-142.50,7.50
"BET",1957,2.00,"JPN",538.00,,-137.50,-2.50
"BET",1957,2.00,"JPN",1210.00,,-137.50,2.50
"BET",1957,2.00,"JPN",25.00,,-137.50,7.50
"BET",1957,2.00,"JPN",2328.00,,-132.50,-2.50
"BET",1957,2.00,"JPN",3415.00,,-132.50,2.50
"BET",1957,2.00,"JPN",43.00,,-127.50,-7.50
"BET",1957,2.00,"JPN",3954.00,,-127.50,-2.50
"BET",1957,2.00,"JPN",1951.00,,-127.50,2.50
"BET",1957,2.00,"JPN",184.00,,-127.50,7.50
"BET",1957,2.00,"JPN",2090.00,,-122.50,-7.50
"BET",1957,2.00,"JPN",3028.00,,-122.50,-2.50
"BET",1957,2.00,"JPN",122.00,,-122.50,2.50
"BET",1957,2.00,"JPN",20.00,,-117.50,-2.50
"BET",1957,3.00,"JPN",34.00,,-147.50,-22.50
"BET",1957,3.00,"JPN",146.00,,-147.50,-17.50
"BET",1957,3.00,"JPN",1562.00,,-147.50,2.50
"BET",1957,3.00,"JPN",6728.00,,-147.50,7.50
"BET",1957,3.00,"JPN",986.00,,-147.50,27.50
"BET",1957,3.00,"JPN",183.00,,-147.50,32.50
"BET",1957,3.00,"JPN",213.00,,-142.50,-22.50
"BET",1957,3.00,"JPN",468.00,,-142.50,-17.50
"BET",1957,3.00,"JPN",13.00,,-142.50,-7.50
"BET",1957,3.00,"JPN",2313.00,,-142.50,2.50
"BET",1957,3.00,"JPN",4961.00,,-142.50,7.50
"BET",1957,3.00,"JPN",918.00,,-142.50,32.50
"BET",1957,3.00,"JPN",31.00,,-137.50,-17.50
"BET",1957,3.00,"JPN",41.00,,-137.50,-7.50
"BET",1957,3.00,"JPN",110.00,,-137.50,-2.50
"BET",1957,3.00,"JPN",4318.00,,-137.50,2.50
"BET",1957,3.00,"JPN",10142.00,,-137.50,7.50
"BET",1957,3.00,"JPN",2149.00,,-137.50,32.50
"BET",1957,3.00,"JPN",576.00,,-132.50,-7.50
"BET",1957,3.00,"JPN",752.00,,-132.50,-2.50
"BET",1957,3.00,"JPN",8406.00,,-132.50,2.50
"BET",1957,3.00,"JPN",9278.00,,-132.50,7.50
"BET",1957,3.00,"JPN",251.00,,-132.50,32.50
"BET",1957,3.00,"JPN",4923.00,,-127.50,-7.50
"BET",1957,3.00,"JPN",565.00,,-127.50,-2.50
"BET",1957,3.00,"JPN",4196.00,,-127.50,2.50
"BET",1957,3.00,"JPN",5470.00,,-127.50,7.50
"BET",1957,3.00,"JPN",11.00,,-127.50,32.50
"BET",1957,3.00,"JPN",4529.00,,-122.50,-7.50
"BET",1957,3.00,"JPN",133.00,,-122.50,-2.50
"BET",1957,3.00,"JPN",1175.00,,-122.50,2.50
"BET",1957,3.00,"JPN",1951.00,,-122.50,7.50
"BET",1957,3.00,"JPN",1370.00,,-117.50,-7.50
"BET",1957,4.00,"JPN",20.00,,-147.50,-22.50
"BET",1957,4.00,"JPN",368.00,,-147.50,-17.50
"BET",1957,4.00,"JPN",4.00,,-147.50,-12.50
"BET",1957,4.00,"JPN",1456.00,,-147.50,2.50
"BET",1957,4.00,"JPN",169.00,,-147.50,7.50
"BET",1957,4.00,"JPN",4880.00,,-147.50,32.50
"BET",1957,4.00,"JPN",9.00,,-147.50,37.50
"BET",1957,4.00,"JPN",126.00,,-142.50,-22.50
"BET",1957,4.00,"JPN",972.00,,-142.50,-17.50
"BET",1957,4.00,"JPN",420.00,,-142.50,-12.50
"BET",1957,4.00,"JPN",670.00,,-142.50,-7.50
"BET",1957,4.00,"JPN",898.00,,-142.50,2.50
"BET",1957,4.00,"JPN",117.00,,-142.50,7.50
"BET",1957,4.00,"JPN",3870.00,,-142.50,32.50
"BET",1957,4.00,"JPN",652.00,,-137.50,-22.50
"BET",1957,4.00,"JPN",358.00,,-137.50,-17.50
"BET",1957,4.00,"JPN",175.00,,-137.50,-12.50
"BET",1957,4.00,"JPN",3362.00,,-137.50,-7.50
"BET",1957,4.00,"JPN",40.00,,-137.50,-2.50
"BET",1957,4.00,"JPN",2617.00,,-137.50,2.50
"BET",1957,4.00,"JPN",90.00,,-137.50,7.50
"BET",1957,4.00,"JPN",68.00,,-137.50,32.50
"BET",1957,4.00,"JPN",1424.00,,-132.50,-7.50
"BET",1957,4.00,"JPN",1571.00,,-132.50,-2.50
"BET",1957,4.00,"JPN",837.00,,-132.50,2.50
"BET",1957,4.00,"JPN",7450.00,,-127.50,-7.50
"BET",1957,4.00,"JPN",259.00,,-127.50,-2.50
"BET",1957,4.00,"JPN",376.00,,-127.50,2.50
"BET",1957,4.00,"JPN",3532.00,,-122.50,-7.50
"BET",1957,4.00,"JPN",520.00,,-117.50,-12.50
"BET",1957,4.00,"JPN",20118.00,,-117.50,-7.50
"BET",1957,4.00,"JPN",8712.00,,-112.50,-7.50
"BET",1957,4.00,"JPN",90.00,,-112.50,-2.50
"BET",1957,4.00,"JPN",3139.00,,-107.50,-7.50
"BET",1958,1.00,"JPN",1.00,,-147.50,-22.50
"BET",1958,1.00,"JPN",150.00,,-147.50,-17.50
"BET",1958,1.00,"JPN",81.00,,-147.50,-12.50
"BET",1958,1.00,"JPN",252.00,,-147.50,-7.50
"BET",1958,1.00,"JPN",57.00,,-142.50,-22.50
"BET",1958,1.00,"JPN",259.00,,-142.50,-17.50
"BET",1958,1.00,"JPN",274.00,,-142.50,-12.50
"BET",1958,1.00,"JPN",1023.00,,-142.50,-7.50
"BET",1958,1.00,"JPN",7.00,,-142.50,-2.50
"BET",1958,1.00,"JPN",135.00,,-137.50,-22.50
"BET",1958,1.00,"JPN",299.00,,-137.50,-17.50
"BET",1958,1.00,"JPN",76.00,,-137.50,-12.50
"BET",1958,1.00,"JPN",403.00,,-137.50,-7.50
"BET",1958,1.00,"JPN",67.00,,-137.50,-2.50
"BET",1958,1.00,"JPN",39.00,,-137.50,7.50
"BET",1958,1.00,"JPN",22.00,,-132.50,-27.50
"BET",1958,1.00,"JPN",120.00,,-132.50,-22.50
"BET",1958,1.00,"JPN",17.00,,-132.50,-17.50
"BET",1958,1.00,"JPN",62.00,,-132.50,-7.50
"BET",1958,1.00,"JPN",2768.00,,-132.50,-2.50
"BET",1958,1.00,"JPN",49.00,,-132.50,2.50
"BET",1958,1.00,"JPN",14.00,,-127.50,-22.50
"BET",1958,1.00,"JPN",1383.00,,-127.50,-7.50
"BET",1958,1.00,"JPN",4138.00,,-127.50,-2.50
"BET",1958,1.00,"JPN",241.00,,-127.50,2.50
"BET",1958,1.00,"JPN",4084.00,,-122.50,-7.50
"BET",1958,1.00,"JPN",119.00,,-122.50,-2.50
"BET",1958,1.00,"JPN",291.00,,-122.50,2.50
"BET",1958,1.00,"JPN",113.00,,-122.50,7.50
"BET",1958,1.00,"JPN",3453.00,,-117.50,-7.50
"BET",1958,1.00,"JPN",451.00,,-117.50,-2.50
"BET",1958,1.00,"JPN",1603.00,,-117.50,7.50
"BET",1958,1.00,"JPN",12620.00,,-112.50,-7.50
"BET",1958,1.00,"JPN",311.00,,-112.50,-2.50
"BET",1958,1.00,"JPN",3448.00,,-107.50,-7.50
"BET",1958,2.00,"JPN",1343.00,,-147.50,-7.50
"BET",1958,2.00,"JPN",1587.00,,-147.50,-2.50
"BET",1958,2.00,"JPN",31.00,,-147.50,2.50
"BET",1958,2.00,"JPN",527.00,,-142.50,-12.50
"BET",1958,2.00,"JPN",480.00,,-142.50,-7.50
"BET",1958,2.00,"JPN",249.00,,-142.50,-2.50
"BET",1958,2.00,"JPN",91.00,,-142.50,2.50
"BET",1958,2.00,"JPN",18.00,,-142.50,7.50
"BET",1958,2.00,"JPN",14.00,,-137.50,-12.50
"BET",1958,2.00,"JPN",435.00,,-137.50,-7.50
"BET",1958,2.00,"JPN",1554.00,,-137.50,-2.50
"BET",1958,2.00,"JPN",168.00,,-137.50,2.50
"BET",1958,2.00,"JPN",246.00,,-132.50,-7.50
"BET",1958,2.00,"JPN",6427.00,,-132.50,-2.50
"BET",1958,2.00,"JPN",162.00,,-132.50,2.50
"BET",1958,2.00,"JPN",21.00,,-132.50,7.50
"BET",1958,2.00,"JPN",90.00,,-127.50,-12.50
"BET",1958,2.00,"JPN",3611.00,,-127.50,-7.50
"BET",1958,2.00,"JPN",2916.00,,-127.50,-2.50
"BET",1958,2.00,"JPN",38.00,,-127.50,2.50
"BET",1958,2.00,"JPN",3184.00,,-122.50,-7.50
