"FlagID","FlagAbv","SpeciesAbv","GearAbv","mt","Year"
24,"TWN","BET","LL",311.00,1989
6,"JPN","BET","LL",67514.00,1989
23,"KOR","BET","LL",3138.02,1989
24,"TWN","BET","LL",596.00,1990
23,"KOR","BET","LL",12126.97,1990
6,"JPN","BET","LL",86148.00,1990
10,"USA","BET","GN",1.00,1990
4,"CRI","BET","LL",1.00,1991
6,"JPN","BET","LL",85011.00,1991
10,"USA","BET","GN",3.00,1991
10,"USA","BET","LL",8.63,1991
23,"KOR","BET","LL",17883.07,1991
24,"TWN","BET","LL",1291.00,1991
23,"KOR","BET","LL",9202.34,1992
46,"PYF","BET","LL",7.47,1992
24,"TWN","BET","LL",1032.00,1992
10,"USA","BET","GN",1.00,1992
4,"CRI","BET","LL",8.69,1992
6,"JPN","BET","LL",74466.00,1992
10,"USA","BET","LL",92.48,1992
46,"PYF","BET","LL",6.72,1993
4,"CRI","BET","LL",25.05,1993
6,"JPN","BET","LL",63190.00,1993
10,"USA","BET","LL",55.27,1993
23,"KOR","BET","LL",8924.19,1993
24,"TWN","BET","LL",297.00,1993
46,"PYF","BET","LL",101.60,1994
24,"TWN","BET","LL",255.00,1994
23,"KOR","BET","LL",9521.98,1994
10,"USA","BET","LL",8.99,1994
6,"JPN","BET","LL",61471.00,1994
2,"CHL","BET","NK",8.00,1994
4,"CRI","BET","LL",1.43,1994
23,"KOR","BET","LL",8992.19,1995
10,"USA","BET","LL",74.35,1995
46,"PYF","BET","LL",96.64,1995
2,"CHL","BET","NK",15.00,1995
6,"JPN","BET","LL",49016.00,1995
24,"TWN","BET","LL",77.00,1995
4,"CRI","BET","LL",13.26,1995
10,"USA","BET","GN",1.00,1995
24,"TWN","BET","LL",95.00,1996
46,"PYF","BET","LL",113.07,1996
23,"KOR","BET","LL",9982.84,1996
10,"USA","BET","NK",4.00,1996
6,"JPN","BET","LL",36685.00,1996
4,"CRI","BET","LL",1.04,1996
2,"CHL","BET","NK",16.00,1996
10,"USA","BET","LL",81.41,1996
10,"USA","BET","GN",5.00,1997
46,"PYF","BET","LL",249.78,1997
24,"TWN","BET","LL",256.00,1997
2,"CHL","BET","NK",6.00,1997
10,"USA","BET","LL",117.64,1997
6,"JPN","BET","LL",40571.00,1997
4,"CRI","BET","LL",9.46,1997
23,"KOR","BET","LL",11376.21,1997
10,"USA","BET","GN",4.00,1998
24,"TWN","BET","LL",314.00,1998
23,"KOR","BET","LL",9731.20,1998
10,"USA","BET","LL",191.32,1998
5,"ECU","BET","OTR",540.89,1998
4,"CRI","BET","LL",27.51,1998
2,"CHL","BET","NK",29.00,1998
46,"PYF","BET","LL",358.57,1998
6,"JPN","BET","LL",35752.00,1998
10,"USA","BET","GN",2.00,1999
46,"PYF","BET","LL",3652.00,1999
24,"TWN","BET","LL",890.00,1999
10,"USA","BET","LL",228.00,1999
6,"JPN","BET","LL",22224.00,1999
5,"ECU","BET","OTR",451.82,1999
4,"CRI","BET","LL",25.24,1999
2,"CHL","BET","NK",6.00,1999
23,"KOR","BET","LL",9430.80,1999
28,"VUT","BET","LL",2754.00,2000
10,"USA","BET","LL",162.00,2000
46,"PYF","BET","LL",653.00,2000
26,"SLV","BET","LL",11.36,2000
24,"TWN","BET","LL",1916.00,2000
23,"KOR","BET","LL",13280.43,2000
8,"PAN","BET","LL",14.00,2000
7,"MEX","BET","LL",42.13,2000
6,"JPN","BET","LL",28745.70,2000
5,"ECU","BET","NK",220.38,2000
4,"CRI","BET","LL",26.52,2000
6,"JPN","BET","LL",1610.00,1954
6,"JPN","BET","LL",1810.00,1955
6,"JPN","BET","LL",2408.00,1956
6,"JPN","BET","LL",9698.00,1957
6,"JPN","BET","LL",10592.00,1958
6,"JPN","BET","LL",11515.00,1959
6,"JPN","BET","LL",17722.00,1960
6,"JPN","BET","LL",52431.00,1961
6,"JPN","BET","LL",45050.00,1962
6,"JPN","BET","LL",66617.00,1963
24,"TWN","BET","LL",11.00,1964
6,"JPN","BET","LL",46268.00,1964
6,"JPN","BET","LL",29160.00,1965
24,"TWN","BET","LL",4.00,1965
6,"JPN","BET","LL",34763.00,1966
24,"TWN","BET","LL",37.00,1966
6,"JPN","BET","LL",34915.00,1967
24,"TWN","BET","LL",963.00,1967
6,"JPN","BET","LL",34513.00,1968
24,"TWN","BET","LL",720.00,1968
6,"JPN","BET","LL",51837.00,1969
24,"TWN","BET","LL",234.00,1969
6,"JPN","BET","LL",32521.00,1970
24,"TWN","BET","LL",820.00,1970
6,"JPN","BET","LL",28871.00,1971
24,"TWN","BET","LL",933.00,1971
24,"TWN","BET","LL",1015.00,1972
6,"JPN","BET","LL",35113.00,1972
6,"JPN","BET","LL",49731.00,1973
24,"TWN","BET","LL",1046.00,1973
6,"JPN","BET","LL",36013.00,1974
24,"TWN","BET","LL",948.00,1974
6,"JPN","BET","LL",40726.00,1975
23,"KOR","BET","LL",606.31,1975
24,"TWN","BET","LL",401.00,1975
24,"TWN","BET","LL",268.00,1976
6,"JPN","BET","LL",52827.00,1976
23,"KOR","BET","LL",1194.56,1976
24,"TWN","BET","LL",595.00,1977
6,"JPN","BET","LL",70024.00,1977
23,"KOR","BET","LL",3466.96,1977
6,"JPN","BET","LL",67214.00,1978
23,"KOR","BET","LL",3040.17,1978
24,"TWN","BET","LL",405.00,1978
6,"JPN","BET","LL",54377.00,1979
23,"KOR","BET","LL",824.41,1979
24,"TWN","BET","LL",234.00,1979
6,"JPN","BET","LL",61951.00,1980
23,"KOR","BET","LL",2188.84,1980
24,"TWN","BET","LL",195.00,1980
6,"JPN","BET","LL",49970.00,1981
23,"KOR","BET","LL",2965.58,1981
24,"TWN","BET","LL",480.00,1981
6,"JPN","BET","LL",50199.00,1982
23,"KOR","BET","LL",2968.87,1982
24,"TWN","BET","LL",197.00,1982
6,"JPN","BET","LL",57185.00,1983
23,"KOR","BET","LL",2614.47,1983
24,"TWN","BET","LL",244.00,1983
6,"JPN","BET","LL",44587.00,1984
23,"KOR","BET","LL",1613.39,1984
24,"TWN","BET","LL",194.00,1984
7,"MEX","BET","LL",0.37,1985
24,"TWN","BET","LL",188.00,1985
23,"KOR","BET","LL",4510.14,1985
10,"USA","BET","GN",2.00,1985
6,"JPN","BET","LL",61627.00,1985
10,"USA","BET","NK",1.00,1985
6,"JPN","BET","LL",91981.00,1986
7,"MEX","BET","LL",0.32,1986
10,"USA","BET","GN",3.00,1986
10,"USA","BET","NK",6.00,1986
23,"KOR","BET","LL",10186.61,1986
24,"TWN","BET","LL",257.00,1986
7,"MEX","BET","LL",1.00,1987
23,"KOR","BET","LL",11680.70,1987
24,"TWN","BET","LL",526.00,1987
6,"JPN","BET","LL",87913.00,1987
10,"USA","BET","GN",6.00,1987
10,"USA","BET","OTR",1.00,1987
6,"JPN","BET","LL",66015.00,1988
7,"MEX","BET","LL",1.00,1988
10,"USA","BET","GN",5.00,1988
10,"USA","BET","NK",1.00,1988
23,"KOR","BET","LL",6151.09,1988
24,"TWN","BET","LL",591.00,1988
2,"CHL","BET","NK",20.00,2000
10,"USA","BET","GN",2.00,2000
24,"TWN","BET","LL",9285.00,2001
46,"PYF","BET","LL",684.00,2001
43,"CHN","BET","PS",300.00,2001
43,"CHN","BET","LL",2638.61,2001
31,"BLZ","BET","LL",1987.00,2001
2,"CHL","BET","NK",5.00,2001
26,"SLV","BET","LL",2.66,2001
10,"USA","BET","LL",147.00,2001
8,"PAN","BET","LL",80.00,2001
7,"MEX","BET","LL",0.97,2001
6,"JPN","BET","LL",38047.90,2001
5,"ECU","BET","NK",14.00,2001
4,"CRI","BET","LL",27.71,2001
23,"KOR","BET","LL",12575.82,2001
28,"VUT","BET","LL",3277.00,2001
2,"CHL","BET","NK",7.00,2002
26,"SLV","BET","LL",7.32,2002
24,"TWN","BET","LL",17253.00,2002
23,"KOR","BET","LL",10357.90,2002
10,"USA","BET","LL",132.00,2002
8,"PAN","BET","LL",6.00,2002
6,"JPN","BET","LL",34193.00,2002
4,"CRI","BET","LL",19.00,2002
43,"CHN","BET","LL",7614.00,2002
5,"ECU","BET","NK",5.00,2002
28,"VUT","BET","LL",2995.00,2002
46,"PYF","BET","LL",387.64,2002
31,"BLZ","BET","LL",1459.00,2002
23,"KOR","BET","LL",10271.80,2003
46,"PYF","BET","LL",346.25,2003
43,"CHN","BET","LL",10065.80,2003
31,"BLZ","BET","LL",604.00,2003
24,"TWN","BET","LL",12016.00,2003
12,"ESP","BET","LL",58.25,2003
10,"USA","BET","LL",232.00,2003
10,"USA","BET","GN",6.00,2003
8,"PAN","BET","LL",18.00,2003
6,"JPN","BET","LL",24888.10,2003
4,"CRI","BET","LL",18.00,2003
2,"CHL","BET","NK",14.00,2003
