Year,Estimate_metric_tons,SD_log
17,2981.800038,0.169870057
18,3245.87159,0.189226445
19,2743.05285,0.158413433
20,2634.593867,0.161812805
21,2697.448515,0.155350714
22,2763.069831,0.165640082
23,2285.972944,0.152185521
24,2377.689169,0.167646746
25,2332.998515,0.154224814
26,2181.94037,0.152335589
27,2087.483909,0.146316253
28,1938.29912,0.165616235
29,2684.902413,0.152385673
30,2359.506504,0.163453756
31,2450.086771,0.152239734
32,2861.183902,0.146697653
33,2963.552714,0.151937979
34,2463.822167,0.195979265
35,3364.083712,0.153790135
36,2537.923519,0.160914885
37,2219.650143,0.142884944
38,2247.008149,0.14081708
39,1987.36927,0.147332324
40,2293.682415,0.141916089
41,2720.783676,0.146898198
42,3141.026828,0.148021782
43,3649.705347,0.157350234
44,3755.561039,0.146393642
45,4190.088212,0.152013106
46,3666.206016,0.135624131
47,3492.763868,0.138159136
48,3245.300095,0.15640194
49,3678.829841,0.154708506
50,2998.229376,0.15522051
51,2709.872133,0.142304145
52,2318.562742,0.141527082
53,2724.446832,0.144290663
54,1937.148253,0.13540632
55,1679.514832,0.138988397
56,1634.737896,0.159024089
57,1968.207541,0.153812466
58,1655.095549,0.138959636
59,1717.895101,0.141251386
60,1893.274352,0.138176017
61,2413.336148,0.134961785
62,2460.069565,0.148624165
63,2843.650681,0.141092353
64,2658.22332,0.136212196
65,2710.181816,0.13880109
66,2519.781896,0.142974674
67,2704.895319,0.137354461
68,2342.682027,0.140921862
69,2543.193853,0.144459553
70,2080.98103,0.142530401
71,2190.017309,0.140922682
72,1867.87392,0.137625178
81,1804.009028,0.141434016
82,1844.675396,0.150100204
83,1816.384574,0.136888644
84,1663.154199,0.138583853
85,2078.702336,0.141425862
86,1553.516302,0.14095547
87,1786.157357,0.140055248
88,1670.6626,0.139681431
89,1879.135123,0.144520912
90,1738.425755,0.139614127
91,1969.225321,0.146012539
92,2050.898141,0.152938226
93,2456.026071,0.146066074
94,1816.423303,0.140638121
95,1806.50264,0.14455094
96,1394.01105,0.154436377
97,1355.502031,0.145443472
98,1242.243013,0.137820204
99,1503.482018,0.154830537
100,1448.105946,0.151248287
101,1709.355181,0.14761185
102,1756.430424,0.146400945
103,2499.451762,0.160359025
104,2351.500163,0.140436089
105,2011.636063,0.142408036
106,2059.825796,0.149640474
107,2286.692527,0.137349496
108,2019.71464,0.135453113
109,1587.3371,0.135729734
110,1487.482794,0.144523411
111,1912.960195,0.14285494
112,1808.470897,0.139616945
113,1366.689307,0.137905612
114,1098.737569,0.138618817
115,1154.552932,0.140831057
116,1237.231174,0.135268283
117,1344.150065,0.135419343
118,1591.325076,0.157803994
119,1864.274663,0.160295098
120,1764.802898,0.140025378
121,1426.089127,0.139500618
122,1496.861927,0.151221627
123,1613.325677,0.161888398
124,1518.031506,0.150281947
125,1431.741191,0.143212734
126,1498.337307,0.149020562
127,1563.298241,0.159406715
128,1499.563455,0.141594003
129,1510.60742,0.143405926
130,1533.335189,0.146857573
131,1428.904603,0.167288763
132,1807.824473,0.173362839
133,1504.90363,0.15025414
134,1594.216443,0.149993116
135,1736.073554,0.16066842
136,1990.467342,0.16120592
137,1638.395335,0.142392307
138,1921.81246,0.183360142
139,2050.279791,0.174096558
140,2191.623454,0.166488231
141,1727.271377,0.148851069
142,1654.073382,0.164301444
143,1795.796714,0.157612157
144,1512.172902,0.152568245
145,1097.730958,0.142107876
146,1122.519746,0.160913161
147,979.0216162,0.153518449
148,1232.575398,0.173933083
149,1049.219392,0.151634073
150,1116.424683,0.145253196
151,1259.895947,0.151331479
152,1412.207061,0.16250424
153,1251.065812,0.159559743
154,1025.842943,0.15211366
155,1097.479593,0.148693031
156,1376.132795,0.161889914
157,1140.508181,0.157899127
158,1209.690466,0.166051627
159,1282.059768,0.167967703
160,1685.59976,0.201151552
161,1775.321779,0.174829476
162,1830.646307,0.171481555
163,1607.324097,0.169356423
164,1788.544706,0.186673685
165,1760.321965,0.173731934
166,1630.639432,0.168052624
167,1668.117447,0.210393426
168,1610.606503,0.192528908
169,1354.99653,0.178098697
170,1542.882199,0.172882738
171,1224.13513,0.199538983
172,1143.13396,0.194664616
173,783.5679615,0.16404101
174,1041.458584,0.17123797
175,1302.194738,0.182540064
176,1105.544722,0.200102156
177,1159.509596,0.224496416
178,1566.814164,0.209060748
179,2016.212965,0.233189876
