"","Year","noDisc","noPS","noLL","noDisc_p","noPS_p","noDLL_p"
"1",1,0,83473,130306,0,114463.735932903,178684.264067097
"2",2,0,86512,126007,0,116697.714331424,169973.285668575
"3",3,0,89446,121006,0,118709.800952236,160595.199047764
"4",4,0,91647,116969,0,119568.636049009,152605.363950991
"5",5,0,93629,113506,0,120035.510493157,145518.489506843
"6",6,0,96276,111102,0,121172.996441281,139833.003558719
"7",7,0,96710,108121,0,119695.451079182,133818.548920818
"8",8,0,95972,106568,0,116888.816411573,129794.183588427
"9",9,0,94963,105905,0,113891.020545831,127013.979454169
"10",10,0,92431,108077,0,109242.168172841,127733.831827159
"11",11,0,89017,109405,0,103818.473027184,127596.526972816
"12",12,0,85243,109837,0,98169.7155474677,126493.284452532
"13",13,0,82101,110510,0,93401.391000514,125720.608999486
"14",14,0,77614,113046,0,87254.484359593,127087.515640407
"15",15,0,73293,113399,0,81481.5961583785,126068.403841622
"16",16,0,68980,113812,0,75884.3397960523,125203.660203948
"17",17,0,66869,115606,0,72911.1212330456,126051.878766954
"18",18,0,63539,117142,0,68649.3809919139,126563.619008086
"19",19,0,59924,117136,0,64186.6385406077,125468.361459392
"20",20,0,56760,117303,0,60305.5638475724,124630.436152428
"21",21,0,54662,116792,0,57640.3638993549,123155.636100645
"22",22,0,52282,118030,0,54721.8594109634,123538.140589037
"23",23,0,50071,118061,0,52037.4240775105,122697.575922489
"24",24,0,47963,117687,0,49523.6433444009,121516.356655599
"25",25,0,49423,116600,0,50874.2273901809,120023.772609819
"26",26,0,47913,116281,0,49057.1762366469,119057.823763353
"27",27,0,46358,114541,0,47238.7786623907,116717.221337609
"28",28,0,44986,112834,0,45664.4100874414,114535.589912559
"29",29,0,45028,111127,0,45607.0158752522,112555.984124748
"30",30,0,44111,110316,0,44532.0378625499,111368.96213745
"31",31,0,43237,108370,0,43500.2315856128,109029.768414387
"32",32,0,42621,107879,0,42774.7754352159,108268.224564784
"33",33,0,42167,107023,0,42213.6355318721,107141.364468128
"34",34,0,41598,107750,0,41569.0328092777,107674.967190722
"35",35,0,40637,109203,0,40549.1303523759,108966.869647624
"36",36,0,39452,110092,0,39304.2634141122,109679.736585888
"37",37,0,38187,110840,0,38009.4241848793,110324.575815121
"38",38,0,36543,111911,0,36361.3360906409,111354.663909359
"39",39,0,34762,110548,0,34563.2027940266,109915.797205973
"40",40,0,32897,108804,0,32698.5050352503,108147.49496475
"41",41,0,31707,107178,0,31545.822464629,106633.177535371
